epoch,train_loss,test_loss
1,0.37209776043891907,0.3152330815792084
5,0.22659237682819366,0.20190578699111938
10,0.14647914469242096,0.13213472068309784
15,0.1044311597943306,0.09485994279384613
20,0.08016534149646759,0.07360202074050903
25,0.06784607470035553,0.0636078417301178
30,0.06253810971975327,0.05948472023010254
35,0.06046385318040848,0.057770684361457825
40,0.05892737954854965,0.056424058973789215
45,0.057592857629060745,0.05518005043268204
50,0.056329868733882904,0.05399581417441368
55,0.0552351251244545,0.0530509352684021
60,0.05414851754903793,0.05202450603246689
65,0.052854087203741074,0.050774313509464264
70,0.051393814384937286,0.0494084395468235
75,0.049862928688526154,0.0480133481323719
80,0.048420120030641556,0.0467120036482811
85,0.0472436286509037,0.04567863419651985
90,0.046178676187992096,0.04472333937883377
95,0.045232143253088,0.04386907443404198
100,0.04437652975320816,0.04314584657549858
105,0.04360758140683174,0.04245642200112343
110,0.042878471314907074,0.041777484118938446
115,0.04216006025671959,0.04110416769981384
120,0.041454605758190155,0.04041318967938423
125,0.0407598577439785,0.03972925618290901
130,0.040066175162792206,0.03903413563966751
135,0.03938388451933861,0.03835226222872734
140,0.038714151829481125,0.03768325597047806
145,0.038053110241889954,0.03702056407928467
150,0.03739560395479202,0.03635590896010399
155,0.036739327013492584,0.03569063916802406
160,0.0360865481197834,0.0350307933986187
165,0.035440508276224136,0.03438062593340874
170,0.0348009392619133,0.03373469412326813
175,0.0341644249856472,0.03308935463428497
180,0.03353029862046242,0.03244292736053467
185,0.032898180186748505,0.03179873526096344
190,0.03226771950721741,0.0311585683375597
195,0.03164006769657135,0.030521497130393982
200,0.031016571447253227,0.029886065050959587
205,0.030397893860936165,0.02925144135951996
210,0.029784342274069786,0.028620094060897827
215,0.029177356511354446,0.02799679897725582
220,0.028581026941537857,0.02738504856824875
225,0.028000129386782646,0.026789644733071327
230,0.02744368091225624,0.026221273466944695
235,0.027046028524637222,0.02575516514480114
240,0.02641528844833374,0.02518475614488125
245,0.025986218824982643,0.02468605525791645
250,0.02548913285136223,0.024284787476062775
255,0.02505478449165821,0.023830808699131012
260,0.024658693000674248,0.023430610075592995
265,0.024272730574011803,0.02307344414293766
270,0.023909587413072586,0.022722922265529633
275,0.023564983159303665,0.022388147190213203
280,0.023238470777869225,0.022079911082983017
285,0.02292374148964882,0.02178439497947693
290,0.022622663527727127,0.02150464616715908
295,0.02233201079070568,0.02123594470322132
300,0.02205078862607479,0.020977316424250603
305,0.021778123453259468,0.02072753943502903
310,0.021513741463422775,0.020487692207098007
315,0.02125699445605278,0.02025657705962658
320,0.02100730687379837,0.020031984895467758
325,0.020763995125889778,0.01981266215443611
330,0.02052638866007328,0.019598370417952538
335,0.0202940646559,0.019389323890209198
340,0.020066477358341217,0.01918601617217064
345,0.01984337531030178,0.018985740840435028
350,0.019628269597887993,0.01880432292819023
355,0.01949876733124256,0.01868538185954094
360,0.019245414063334465,0.018431128934025764
365,0.01901252567768097,0.018228692933917046
370,0.018789995461702347,0.01805565319955349
